cost_function,Building_1,Building_2,Building_3,District
all_time_peak_average,,,,1.0
annual_normalized_unserved_energy_total,0.019,0.018,0.018,0.018
carbon_emissions_total,1.0,1.0,1.0,1.0
cost_total,1.0,1.0,1.0,1.0
daily_one_minus_load_factor_average,,,,1.0
daily_peak_average,,,,1.0
discomfort_cold_delta_average,1.657,0.045,0.675,0.793
discomfort_cold_delta_maximum,4.878,1.793,3.642,3.438
discomfort_cold_delta_minimum,0.0,0.0,0.0,0.0
discomfort_cold_proportion,0.369,0.0,0.095,0.155
discomfort_hot_delta_average,0.053,0.577,0.081,0.237
discomfort_hot_delta_maximum,5.006,6.441,3.734,5.06
discomfort_hot_delta_minimum,0.0,0.0,0.0,0.0
discomfort_hot_proportion,0.008,0.041,0.003,0.018
discomfort_proportion,0.377,0.041,0.098,0.172
electricity_consumption_total,1.0,1.0,1.0,1.0
monthly_one_minus_load_factor_average,,,,1.0
one_minus_thermal_resilience_proportion,0.333,0.643,0.133,0.37
power_outage_normalized_unserved_energy_total,0.723,0.692,0.637,0.684
ramping_average,,,,1.0
zero_net_energy,1.0,1.0,1.0,1.0
