cost_function,Building_1,Building_4,Building_5,Building_7,District
annual_peak_average,,,,,0.5322046369945076
carbon_emissions_total,0.39081673095566344,1.0709001338525217,0.4039562432590546,1.1441516261765412,0.7524561835609452
cost_total,0.38060527269518724,1.0815125168036632,0.4009741752553716,1.1668959877079956,0.7574969881155544
daily_peak_average,,,,,0.3570502623752656
discomfort_delta_average,0.0,0.0,0.0,0.0,0.0
discomfort_delta_maximum,0.0,0.0,0.0,0.0,0.0
discomfort_delta_minimum,0.0,0.0,0.0,0.0,0.0
electricity_consumption_total,0.41803507159925823,1.0937830757586602,0.4292474817283844,1.1885650254277798,0.7824076636285207
one_minus_load_factor_average,,,,,1.2211066986809211
ramping_average,,,,,0.7528006137078789
zero_net_energy,-3.885114552002456,1.140717697338591,-1.772832740796115,0.9821776794664056,-0.8837629789983936
