cost_function,Building_1,Building_4,Building_5,Building_7,District
annual_peak_average,,,,,0.44463485250162793
carbon_emissions_total,0.3931574408377794,1.0011190741047549,0.39457767906256447,1.0026947226469243,0.6978872291630057
cost_total,0.38489755845343393,1.0008296995963792,0.3865568650741571,1.001882140460291,0.6935415658960653
daily_peak_average,,,,,0.35298261076973475
discomfort_delta_average,0.0,0.0,0.0,0.0,0.0
discomfort_delta_maximum,0.0,0.0,0.0,0.0,0.0
discomfort_delta_minimum,0.0,0.0,0.0,0.0,0.0
electricity_consumption_total,0.4091660728368169,1.0009233177177688,0.4052355324432615,1.0021798576659684,0.704376195165954
one_minus_load_factor_average,,,,,1.207907900697236
ramping_average,,,,,0.6992464178147404
zero_net_energy,-3.6107808384205784,1.0069089767664263,-1.5837873471740098,0.9991249572667884,-0.7971335628903433
